"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Electrosmith_Daisy_Seed_Rev7","","","","Module:Electrosmith_Daisy_Seed","https://static1.squarespace.com/static/58d03fdc1b10e3bf442567b8/t/6227e6236f02fb68d1577146/1646781988478/Daisy_Seed_datasheet_v1.0.3.pdf"
"C1,C4,C8,C13","4","100n","","","","Capacitor_THT_Custom:C_Rect_L4.0mm_W2.6mm_P2.50mm",""
"C2","1","100p","","","","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"C3","1","10u","","","","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"C5,C9","2","1n","","","","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"C6,C10","2","470p","","","","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm",""
"C7,C11","2","1u","","","","Capacitor_THT_Custom:C_Rect_L7.3mm_W4.5mm_P5.00mm",""
"C12","1","100u","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"D1,D2","2","LED","","","","LED_THT:LED_D5.0mm",""
"D3","1","1N5817","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"J1,J2","2","AudioJack2","","","","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",""
"J3","1","Barrel_Jack_Switch_Pin3Ring","","","","Connector_Wire_Custom:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm_BarrelJack",""
"R1,R2,R15","3","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R3,R4","2","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R5","1","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R6","1","1M5","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R7,R8,R12,R13","4","12k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R9,R14","2","100R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R10","1","33k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R11","1","22k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"RV1,RV2,RV3,RV4,RV5","5","100k","","","","Potentiometer_THT_Custom:Potentiometer_P160KN",""
"SW1,SW2","2","SW_SPST","","","","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",""
"SW3","1","SW_SPDT","","","","Connector_Wire_Custom:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm_SPDT_OnOn",""
"U1,U2","2","MCP6022","","","","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/devicedoc/20001685e.pdf"
